NASDAQ,FTSE
0.061404892,0.09384244
0.033448233,0.084691407
0.111594417,0.079367562
0.004681441,0.077429743
0.070943378,0.075969661
0.040530693,0.060069556
0.046977924,0.059037795
-0.004286977,0.054395521
0.033749024,0.052662035
-0.003744536,0.050891805
0.047001201,0.050322689
0.048225202,0.049542229
0.049479323,0.049303576
-0.039644603,0.048776296
0.068273733,0.047628049
0.0190328,0.046398459
0.039687748,0.045566499
0.056325693,0.045266506
0.035276829,0.043470555
0.00328872,0.043443959
0.01640822,0.043220656
-0.016931871,0.043215497
0.03068301,0.043209258
0.017681353,0.04245663
0.032359373,0.041933723
0.015863215,0.041089494
0.008214896,0.040966884
-0.000556488,0.040896661
0.052164197,0.039839036
0.051407257,0.039517934
0.011904903,0.039433048
0.006133958,0.038481402
0.00820431,0.037891115
0.019321262,0.037828438
0.024474537,0.037389099
0.007994638,0.036810218
0.018646372,0.036392143
0.025998476,0.035513961
0.027428936,0.035061
-0.007170546,0.034884775
-8.62E-06,0.034829691
0.041060642,0.034739705
0.006127103,0.034677079
0.021776047,0.034440757
-0.005803077,0.033770901
0.058478942,0.033719611
0.025149988,0.033719032
0.002177942,0.033626804
0.043437124,0.033125553
0.038019656,0.032908036
0.002209119,0.032907996
0.020190386,0.032570308
-0.000328223,0.032420631
0.002262304,0.032061699
0.02738144,0.032040227
-0.005297413,0.031754483
-0.036015661,0.031744294
0.030443305,0.031488519
0.022893589,0.031416196
0.004327419,0.031330786
0.001993378,0.031250721
0.040828514,0.031065731
0.013356147,0.031008728
0.029910029,0.030893879
0.036574504,0.030706095
0.04581687,0.030602191
-0.006741599,0.030509832
0.006119211,0.029994235
0.01130285,0.029759376
-0.001041845,0.029486607
0.006334381,0.029353105
-0.019383295,0.028960896
0.025742169,0.028925157
0.01454371,0.028883708
0.032645357,0.028509963
0.034391593,0.028370066
0.034550666,0.028271986
0.035086269,0.028202481
0.065405778,0.028196899
-0.022008202,0.028017983
0.017604816,0.02788845
0.005573392,0.027733998
0.006302069,0.027650713
0.019199382,0.027576801
0.03183871,0.027467577
0.011803436,0.02746018
0.01038359,0.027158671
0.02417005,0.026959809
0.027445393,0.026940997
-0.026646754,0.026875954
0.031755136,0.026845534
0.027626464,0.026804616
0.005449371,0.026697487
0.029278205,0.026664218
0.007440273,0.026611187
0.031320081,0.026594534
0.002012941,0.026557768
-0.002652485,0.026509926
0.001756449,0.026429131
-0.003460062,0.026188755
0.050408905,0.026150635
0.017872768,0.026111046
0.019139819,0.02606092
0.036045567,0.026051479
-0.006510289,0.026046391
0.011942324,0.026005356
0.000998645,0.025891216
0.020494261,0.025413984
0.03449776,0.025350254
0.002744312,0.025161432
-0.029266485,0.025142997
0.027856387,0.025118126
0.009785181,0.025091584
0.004057715,0.025056978
0.013502954,0.02501835
0.027731914,0.024930059
0.014319058,0.024900604
-0.000941307,0.024862282
0.006489058,0.024674453
0.017500076,0.024533113
-0.014430366,0.024511421
-0.01567976,0.024458003
-0.003566433,0.024379372
0.059120985,0.024368264
-0.000168446,0.024182664
-0.013103037,0.024087388
-0.002133322,0.023949623
0.028611938,0.023946906
-0.0164345,0.023871131
0.011652896,0.023863518
-0.019238486,0.023836555
-0.012527218,0.023829487
0.062455054,0.023808285
0.034894701,0.023747818
0.010205014,0.023722654
0.034799097,0.023700944
0.022694757,0.023684413
0.014878353,0.023618071
0.001299566,0.023596263
0.001464181,0.023553135
0.033368822,0.02352173
-0.005233445,0.023506286
-0.044972413,0.023489316
0.007756993,0.023469395
-0.001880142,0.023445463
0.00155508,0.023403468
0.027641073,0.023308816
0.021820182,0.023292335
0.023693804,0.023281117
0.002263867,0.023250411
0.024569376,0.023171181
0.014447954,0.023137499
0.001418775,0.023119667
0.010316354,0.023102238
0.041772284,0.023024838
0.033395323,0.022958437
0.013723581,0.022864984
-0.006057342,0.022831929
0.000297007,0.022755815
0.076371878,0.022694092
0.016586249,0.022640736
0.025200853,0.022636473
0.026544527,0.022603719
-0.004095089,0.022530576
0.099636432,0.022525174
0.022524765,0.022496725
0.010283582,0.022391361
0.030607517,0.022378302
0.016981414,0.022377758
-0.014948891,0.022334593
-0.001059299,0.02220324
0.00865182,0.022165081
0.078097762,0.022161524
0.024337541,0.022132023
-0.009608859,0.022035363
0.011667624,0.02192882
0.003015775,0.021892129
-0.005367187,0.021842106
